,tas,VPD,hurs,sfcWind,pr,mrso,hfls,evspsbl,mrlsl,huss
ACCESS1-0,0,0,0,0,0,0,0,0,,
ACCESS1-3,0,0,0,0,0,0,0,0,,
CanESM2,0,0,0,0,0,0,0,0,,
CCSM4,5,5,5,2,3,3,1,1,many missing,
CMCC-CESM,0,5,5,0,0,3,1,1,"hurs, huss, mrlsl, ",
CMCC-CM,0,5,5,0,0,3,0,1,,
CMCC-CMS,0,5,5,0,0,3,0,1,,
CNRM-CM5,0,0,0,0,0,0,0,0,,
CSIRO-Mk3-6-0,0,0,0,0,0,3,0,0,,
GFDL-CM3,0,5,5,0,0,3,0,0,,
GFDL-ESM2G,0,5,5,0,0,0,0,0,,
GFDL-ESM2M,0,5,5,0,0,0,0,0,,
GISS-E2-H,0,0,0,0,0,0,0,0,,
GISS-E2-H-CC,0,0,0,2,0,0,0,0,got it',
GISS-E2-R,0,0,0,0,0,0,0,0,,
GISS-E2-R-CC,0,0,0,2,0,0,1,1,,
HadGEM2-CC,0,0,0,0,0,0,0,0,,
HadGEM2-ES,0,0,0,2,0,0,1,0,,
inmcm4,0,0,0,2,0,0,1,1,,
IPSL-CM5A-LR,5,5,5,0,3,0,0,0,,
IPSL-CM5A-MR,5,5,5,0,3,0,0,0,,
IPSL-CM5B-LR,5,5,5,0,3,0,0,0,,
MIROC-ESM,0,0,0,0,0,0,1,0,,
MIROC-ESM-CHEM,0,0,0,0,0,0,1,0,,
MIROC5,0,0,0,0,0,0,1,0,,
MPI-ESM-LR,5,5,5,0,3,3,0,1,,
MPI-ESM-MR,5,5,5,0,3,3,0,1,,
MRI-CGCM3,0,0,0,0,0,0,0,0,,
MRI-ESM1,0,0,0,0,0,0,0,0,,
NorESM1-M,0,0,0,2,0,3,0,1,,
NorESM1-ME,0,0,0,2,0,3,0,1,,
