Ecoregion,Var1_r,Var_2,Var_3,Var_4,Var_5,Var_6,atmos_R-squared,plant_R-squared,,,,
Temperate Steppe Regime Mountains,,,,,,,,,,,,
Marine Regime Mountains,,,,,,,,,,,,
Marine Division,,,,,,,,,,,,
Mediterranean Regime Mountains,,,,,,,,,,,,
Mediterranean Division,,,,,,,,,,,,
Temperate Desert Division,,,,,,,,,,,,
Tropical/Subtropical Steppe Division,,,,,,,,,,,,
Tropical/Subtropical Desert Division,,,,,,,,,,,,
Tropical/Subtropical Regime Mountains,,,,,,,,,,,,
Temperate Desert Regime Mountains,,,,,,,,,,,,
